iter	Passed	Remaining
1251	13747	6116
1252	13759	6105
1253	13774	6096
1254	13785	6085
1255	13797	6074
1256	13810	6064
1257	13823	6054
1258	13836	6044
1259	13847	6033
1260	13858	6022
1261	13870	6011
1262	13881	6001
1263	13891	5989
1264	13902	5978
1265	13914	5968
1266	13926	5957
1267	13952	5952
1268	13962	5941
1269	13979	5933
1270	13989	5921
1271	14000	5910
1272	14011	5899
1273	14021	5888
1274	14032	5877
1275	14042	5865
1276	14053	5854
1277	14064	5843
1278	14076	5833
1279	14087	5822
1280	14100	5811
1281	14112	5801
1282	14123	5790
1283	14134	5779
1284	14149	5769
1285	14161	5759
1286	14174	5749
1287	14186	5738
1288	14197	5727
1289	14207	5716
1290	14219	5705
1291	14230	5694
1292	14241	5683
1293	14251	5671
1294	14261	5660
1295	14272	5649
1296	14283	5638
1297	14294	5627
1298	14305	5616
1299	14317	5606
1300	14328	5594
1301	14339	5583
1302	14348	5572
1303	14357	5560
1304	14368	5549
1305	14378	5537
1306	14389	5526
1307	14399	5515
1308	14408	5503
1309	14419	5492
1310	14429	5481
1311	14440	5470
1312	14449	5458
1313	14465	5449
1314	14474	5437
1315	14484	5426
1316	14494	5414
1317	14504	5403
1318	14515	5392
1319	14525	5381
1320	14535	5369
1321	14545	5358
1322	14557	5347
1323	14567	5336
1324	14577	5324
1325	14587	5313
1326	14599	5302
1327	14608	5291
1328	14619	5280
1329	14629	5268
1330	14639	5257
1331	14650	5246
1332	14662	5235
1333	14673	5224
1334	14683	5213
1335	14692	5201
1336	14702	5190
1337	14712	5179
1338	14722	5167
1339	14733	5156
1340	14748	5147
1341	14761	5136
1342	14775	5127
1343	14790	5117
1344	14806	5107
1345	14819	5097
1346	14833	5087
1347	14849	5078
1348	14862	5067
1349	14874	5057
1350	14893	5049
1351	14906	5038
1352	14919	5028
1353	14931	5017
1354	14942	5006
1355	14956	4996
1356	14968	4985
1357	14981	4975
1358	14994	4965
1359	15006	4954
1360	15018	4943
1361	15028	4932
1362	15041	4921
1363	15049	4909
1364	15059	4898
1365	15069	4887
1366	15081	4876
1367	15092	4865
1368	15102	4854
1369	15113	4843
1370	15123	4831
1371	15134	4820
1372	15147	4810
1373	15160	4799
1374	15170	4788
1375	15181	4777
1376	15192	4766
1377	15203	4755
1378	15215	4744
1379	15227	4733
1380	15238	4722
1381	15251	4712
1382	15262	4701
1383	15273	4690
1384	15283	4678
1385	15294	4667
1386	15305	4656
1387	15316	4645
1388	15326	4634
1389	15337	4623
1390	15347	4611
1391	15358	4600
1392	15367	4589
1393	15377	4577
1394	15387	4566
1395	15397	4555
1396	15408	4544
1397	15419	4533
1398	15429	4521
1399	15439	4510
1400	15453	4500
1401	15465	4489
1402	15476	4478
1403	15487	4467
1404	15496	4456
1405	15507	4444
1406	15517	4433
1407	15528	4422
1408	15537	4411
1409	15548	4399
1410	15561	4389
1411	15573	4378
1412	15584	4367
1413	15596	4356
1414	15606	4345
1415	15617	4334
1416	15629	4323
1417	15640	4312
1418	15655	4302
1419	15666	4291
1420	15677	4280
1421	15689	4269
1422	15700	4258
1423	15711	4247
1424	15721	4236
1425	15732	4225
1426	15742	4214
1427	15753	4203
1428	15763	4191
1429	15774	4180
1430	15786	4169
1431	15796	4158
1432	15808	4147
1433	15819	4136
1434	15830	4125
1435	15841	4114
1436	15851	4103
1437	15862	4092
1438	15873	4081
1439	15884	4070
1440	15896	4059
1441	15906	4048
1442	15918	4037
1443	15930	4026
1444	15942	4015
1445	15953	4004
1446	15965	3994
1447	15979	3983
1448	15994	3973
1449	16010	3963
1450	16023	3953
1451	16036	3942
1452	16048	3932
1453	16059	3920
1454	16071	3910
1455	16086	3900
1456	16096	3888
1457	16107	3877
1458	16118	3866
1459	16129	3855
1460	16139	3844
1461	16150	3833
1462	16162	3822
1463	16171	3810
1464	16182	3799
1465	16192	3788
1466	16203	3777
1467	16213	3766
1468	16223	3755
1469	16233	3743
1470	16242	3732
1471	16252	3720
1472	16262	3709
1473	16272	3698
1474	16283	3687
1475	16293	3676
1476	16304	3664
1477	16314	3653
1478	16324	3642
1479	16334	3631
1480	16344	3619
1481	16355	3608
1482	16364	3597
1483	16373	3585
1484	16383	3574
1485	16394	3563
1486	16406	3552
1487	16415	3541
1488	16425	3529
1489	16437	3519
1490	16449	3508
1491	16461	3497
1492	16472	3486
1493	16485	3475
1494	16497	3465
1495	16509	3454
1496	16526	3444
1497	16539	3433
1498	16550	3422
1499	16561	3411
1500	16577	3401
1501	16606	3394
1502	16622	3384
1503	16649	3376
1504	16662	3365
1505	16673	3354
1506	16685	3343
1507	16697	3332
1508	16717	3323
1509	16734	3313
1510	16751	3303
1511	16769	3294
1512	16783	3283
1513	16796	3272
1514	16810	3262
1515	16826	3252
1516	16841	3241
1517	16856	3231
1518	16869	3220
1519	16882	3209
1520	16894	3199
1521	16910	3188
